City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,lavrentiya,65.5833,-171.0,-28.13,94,65,2.72,RU,1675504599
168,kavieng,-2.5744,150.7967,27.12,79,100,3.23,PG,1675504599
169,vuktyl,63.8567,57.3094,-5.76,95,99,2.52,RU,1675504600
170,kimbe,-5.5502,150.1429,26.05,86,100,0.87,PG,1675504600
171,elbrus,43.2577,42.6443,-5.9,84,100,3.49,RU,1675504601
172,vardo,70.3705,31.1107,-8.01,79,100,8.75,NO,1675504601
173,pravia,43.4906,-6.1508,7.9,81,0,2.06,ES,1675504602
174,kruisfontein,-34.0033,24.7314,31.6,41,16,7.2,ZA,1675504602
175,new norfolk,-42.7826,147.0587,14.84,67,100,1.79,AU,1675504603
176,greensburg,40.3015,-79.5389,-13.17,83,0,0.89,US,1675504308
177,yongan,39.6957,113.6871,-2.13,28,0,0.76,CN,1675504604
178,florenville,49.6998,5.3074,7.51,93,100,0.98,BE,1675504604
179,vila velha,-20.3297,-40.2925,25.53,82,0,3.09,BR,1675504605
180,turukhansk,65.8167,87.9833,-14.56,99,98,0.58,RU,1675504605
181,nome,64.5011,-165.4064,-15.96,92,100,1.54,US,1675504606
182,touros,-5.1989,-35.4608,27.51,70,100,5.85,BR,1675504606
183,kibaya,-5.3,36.5667,23.45,51,98,1.1,TZ,1675504607
184,zaozerne,45.1582,33.2787,5.66,65,98,5.01,UA,1675504608
185,port moresby,-9.4431,147.1797,26.68,89,75,1.75,PG,1675504365
186,puerto ayacucho,5.6639,-67.6236,22.82,74,48,2.26,VE,1675504608
187,meulaboh,4.1363,96.1285,25.77,78,100,0.09,ID,1675504609
188,clyde river,70.4692,-68.5914,-31.87,62,0,4.63,CA,1675504609
189,shenjiamen,29.9576,122.298,8.1,68,100,4.93,CN,1675504610
190,kovdor,67.5662,30.4758,-14.15,100,100,1.66,RU,1675504611
191,siimusti,58.7277,26.3437,-4.47,84,100,4.34,EE,1675504611
192,hammerfest,70.6634,23.6821,-0.75,100,100,7.72,NO,1675504612
193,nantucket,41.2835,-70.0995,-18.94,60,100,11.32,US,1675504612
194,portland,45.5234,-122.6762,9.7,93,100,3.09,US,1675504127
195,novo aripuana,-5.1206,-60.3797,22.12,99,100,0.2,BR,1675504613
196,dubrovnik,42.6481,18.0922,8.8,81,40,2.57,HR,1675504613
197,nanortalik,60.1432,-45.2371,-13.31,70,58,5.4,GL,1675504614
198,namtsy,62.7161,129.6658,-29.03,100,99,1.66,RU,1675504615
199,alwar,27.5667,76.6,26.22,22,0,5.76,IN,1675504615
200,tome,-36.6167,-72.95,14.34,95,14,0.56,CL,1675504616
201,huadian,42.9633,126.7478,-15.3,94,54,1.47,CN,1675504616
202,luganville,-15.5333,167.1667,27.71,84,59,1.76,VU,1675504617
203,ramanuj ganj,23.8,83.7,27.85,12,15,4.81,IN,1675504617
204,airai,-8.9266,125.4092,16.42,93,100,1.13,TL,1675504618
205,kismayo,-0.3582,42.5454,28.65,62,1,8.49,SO,1675504618
206,maceio,-9.6658,-35.7353,23.69,94,20,1.54,BR,1675503933
207,aljezur,37.3191,-8.8033,13.35,49,0,1.6,PT,1675504619
208,thompson,55.7435,-97.8558,-21.91,77,100,1.03,CA,1675504620
209,epe,6.5841,3.9834,30.81,62,89,2.59,NG,1675504620
210,north bend,43.4065,-124.2243,11.71,93,100,2.57,US,1675504621
211,arraial do cabo,-22.9661,-42.0278,24.92,83,0,2.57,BR,1675504366
212,tilichiki,60.4667,166.1,-24.58,96,19,3.9,RU,1675504622
213,karratha,-20.7377,116.8463,32.12,52,17,5.98,AU,1675504622
214,saint-leu,-21.15,55.2833,30.46,80,24,4.96,RE,1675504623
215,mahebourg,-20.4081,57.7,30.14,74,40,5.14,MU,1675504623
216,san-pedro,4.7485,-6.6363,28.5,73,34,2.58,CI,1675504624
217,sakassou,7.4546,-5.2926,27.91,52,6,2.8,CI,1675504624
218,olafsvik,64.8945,-23.7142,0.1,65,97,17.29,IS,1675504625
219,antofagasta,-23.65,-70.4,20.6,88,14,0.79,CL,1675504599
220,lima,-12.0432,-77.0282,22.72,85,40,4.12,PE,1675504429
221,bilibino,68.0546,166.4372,-32.79,100,23,2.68,RU,1675504404
222,makakilo city,21.3469,-158.0858,24.2,76,100,5.14,US,1675504627
223,iqaluit,63.7506,-68.5145,-36.84,65,20,7.2,CA,1675504627
224,saint-felicien,48.6501,-72.4491,-30.62,51,0,9.26,CA,1675504628
225,hamilton,39.1834,-84.5333,-7.78,72,0,4.12,US,1675504629
226,lanja,16.85,73.55,35.66,18,98,3.24,IN,1675504629
227,san angelo,31.4638,-100.437,2.45,81,0,3.83,US,1675504630
228,kumluca,36.3703,30.2869,12.27,52,47,2.67,TR,1675504630
229,dois riachos,-9.3925,-37.1006,24.26,71,14,3.25,BR,1675504631
230,jumla,29.2747,82.1838,13.38,26,0,2.93,NP,1675504631
231,lasa,46.6166,10.7002,7.49,86,64,5.38,IT,1675504632
232,marsh harbour,26.5412,-77.0636,22.58,78,100,10.32,BS,1675504632
233,sunrise,26.1577,-80.2861,20.56,85,100,4.63,US,1675504633
234,camacha,33.0833,-16.3333,14.68,72,40,7.2,PT,1675504634
235,east london,-33.0153,27.9116,27.52,65,0,8.23,ZA,1675504634
236,lompoc,34.6391,-120.4579,11.07,83,0,4.47,US,1675504635
237,machico,32.7,-16.7667,16.74,77,40,6.69,PT,1675504635
238,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1675504636
239,half moon bay,37.4636,-122.4286,11.84,95,100,1.54,US,1675504637
240,hasaki,35.7333,140.8333,6.79,59,60,3.48,JP,1675504637
